"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 16 17:13:41 EET 2026","Mon Feb 16 17:13:41 EET 2026","284","","CourierLoginNegativeTest","","CourierLoginNegativeTest","shouldReturn400WhenPasswordIsMissing","shouldReturn400WhenPasswordIsMissing",""
"passed","Mon Feb 16 17:13:45 EET 2026","Mon Feb 16 17:13:46 EET 2026","1011","","OrderColorTest","","OrderColorTest","shouldCreateOrderWithGivenColors[Заказ без указания цвета]","shouldCreateOrderWithGivenColors[Заказ без указания цвета]",""
"passed","Mon Feb 16 17:13:39 EET 2026","Mon Feb 16 17:13:40 EET 2026","273","","CourierLoginNegativeTest","","CourierLoginNegativeTest","shouldReturn400WhenLoginIsMissing","shouldReturn400WhenLoginIsMissing",""
"passed","Mon Feb 16 17:13:46 EET 2026","Mon Feb 16 17:13:47 EET 2026","1344","","OrderListTest","","OrderListTest","shouldReturnOrderListForCourier","shouldReturnOrderListForCourier",""
"passed","Mon Feb 16 17:13:47 EET 2026","Mon Feb 16 17:13:48 EET 2026","1010","","OrderWithoutColorTest","","OrderWithoutColorTest","shouldCreateOrderWithoutColor","shouldCreateOrderWithoutColor",""
"passed","Mon Feb 16 17:13:33 EET 2026","Mon Feb 16 17:13:36 EET 2026","3165","","CourierCreationNegativeTest","","CourierCreationNegativeTest","shouldNotCreateCourierWhenPasswordIsNull","shouldNotCreateCourierWhenPasswordIsNull",""
"passed","Mon Feb 16 17:13:40 EET 2026","Mon Feb 16 17:13:40 EET 2026","307","","CourierLoginNegativeTest","","CourierLoginNegativeTest","shouldReturn404WhenPasswordIsInvalid","shouldReturn404WhenPasswordIsInvalid",""
"passed","Mon Feb 16 17:13:44 EET 2026","Mon Feb 16 17:13:45 EET 2026","964","","OrderColorTest","","OrderColorTest","shouldCreateOrderWithGivenColors[Заказ с двумя цветами (BLACK и GREY)]","shouldCreateOrderWithGivenColors[Заказ с двумя цветами (BLACK и GREY)]",""
"passed","Mon Feb 16 17:13:37 EET 2026","Mon Feb 16 17:13:39 EET 2026","2392","","CourierDuplicateTest","","CourierDuplicateTest","shouldReturn409WhenCreatingDuplicateCourier","shouldReturn409WhenCreatingDuplicateCourier",""
"passed","Mon Feb 16 17:13:43 EET 2026","Mon Feb 16 17:13:44 EET 2026","938","","OrderColorTest","","OrderColorTest","shouldCreateOrderWithGivenColors[Заказ только с серым цветом (GREY)]","shouldCreateOrderWithGivenColors[Заказ только с серым цветом (GREY)]",""
"passed","Mon Feb 16 17:13:40 EET 2026","Mon Feb 16 17:13:41 EET 2026","288","","CourierLoginNegativeTest","","CourierLoginNegativeTest","shouldReturn404WhenLoginIsInvalid","shouldReturn404WhenLoginIsInvalid",""
"passed","Mon Feb 16 17:13:40 EET 2026","Mon Feb 16 17:13:40 EET 2026","393","","CourierLoginNegativeTest","","CourierLoginNegativeTest","shouldReturn404WhenUserDoesNotExist","shouldReturn404WhenUserDoesNotExist",""
"passed","Mon Feb 16 17:13:37 EET 2026","Mon Feb 16 17:13:37 EET 2026","281","","CourierCreationNegativeTest","","CourierCreationNegativeTest","shouldNotCreateCourierWhenLoginIsNull","shouldNotCreateCourierWhenLoginIsNull",""
"passed","Mon Feb 16 17:13:42 EET 2026","Mon Feb 16 17:13:43 EET 2026","1079","","OrderColorTest","","OrderColorTest","shouldCreateOrderWithGivenColors[Заказ только с чёрным цветом (BLACK)]","shouldCreateOrderWithGivenColors[Заказ только с чёрным цветом (BLACK)]",""
"passed","Mon Feb 16 17:13:41 EET 2026","Mon Feb 16 17:13:42 EET 2026","933","","CourierLoginTest","","CourierLoginTest","shouldLoginWithValidCredentials","shouldLoginWithValidCredentials",""
